timestamp,action,pose,target_robot_pose,target_finger_scores,completion,hit_threshold,reset_threshold,hold_frames,finger_scores,stability,counted
2026-06-24 10:11:21,张开手训练,"[253, 252, 255, 250, 251, 246]","[255, 255, 255, 255, 255, 255]","{""thumb"": 0, ""index"": 0, ""middle"": 0, ""ring"": 0, ""little"": 0}",98.4,80.0,60.0,5,"{""thumb"": 1, ""index"": 0, ""middle"": 2, ""ring"": 2, ""little"": 3}",无数据,False
2026-06-24 10:11:21,张开手训练,"[253, 250, 255, 250, 251, 246]","[255, 255, 255, 255, 255, 255]","{""thumb"": 0, ""index"": 0, ""middle"": 0, ""ring"": 0, ""little"": 0}",97.6,80.0,60.0,5,"{""thumb"": 4, ""index"": 0, ""middle"": 2, ""ring"": 2, ""little"": 4}",无数据,False
2026-06-24 10:11:21,张开手训练,"[253, 248, 255, 250, 251, 246]","[255, 255, 255, 255, 255, 255]","{""thumb"": 0, ""index"": 0, ""middle"": 0, ""ring"": 0, ""little"": 0}",97.4,80.0,60.0,5,"{""thumb"": 4, ""index"": 0, ""middle"": 2, ""ring"": 3, ""little"": 4}",无数据,False
2026-06-24 10:11:21,张开手训练,"[253, 248, 255, 250, 251, 246]","[255, 255, 255, 255, 255, 255]","{""thumb"": 0, ""index"": 0, ""middle"": 0, ""ring"": 0, ""little"": 0}",97.8,80.0,60.0,5,"{""thumb"": 3, ""index"": 0, ""middle"": 2, ""ring"": 2, ""little"": 4}",无数据,False
2026-06-24 10:11:21,张开手训练,"[253, 248, 255, 250, 251, 246]","[255, 255, 255, 255, 255, 255]","{""thumb"": 0, ""index"": 0, ""middle"": 0, ""ring"": 0, ""little"": 0}",97.4,80.0,60.0,5,"{""thumb"": 4, ""index"": 0, ""middle"": 3, ""ring"": 2, ""little"": 4}",良好,True
2026-06-24 10:11:21,张开手训练,"[253, 248, 255, 250, 251, 246]","[255, 255, 255, 255, 255, 255]","{""thumb"": 0, ""index"": 0, ""middle"": 0, ""ring"": 0, ""little"": 0}",97.8,80.0,60.0,5,"{""thumb"": 3, ""index"": 0, ""middle"": 2, ""ring"": 2, ""little"": 4}",良好,False
2026-06-24 10:11:21,张开手训练,"[253, 248, 255, 250, 251, 246]","[255, 255, 255, 255, 255, 255]","{""thumb"": 0, ""index"": 0, ""middle"": 0, ""ring"": 0, ""little"": 0}",97.8,80.0,60.0,5,"{""thumb"": 3, ""index"": 0, ""middle"": 2, ""ring"": 2, ""little"": 4}",良好,False
2026-06-24 10:11:21,张开手训练,"[253, 248, 255, 250, 251, 246]","[255, 255, 255, 255, 255, 255]","{""thumb"": 0, ""index"": 0, ""middle"": 0, ""ring"": 0, ""little"": 0}",97.8,80.0,60.0,5,"{""thumb"": 5, ""index"": 0, ""middle"": 2, ""ring"": 1, ""little"": 3}",良好,False
2026-06-24 10:11:21,张开手训练,"[253, 248, 255, 250, 251, 246]","[255, 255, 255, 255, 255, 255]","{""thumb"": 0, ""index"": 0, ""middle"": 0, ""ring"": 0, ""little"": 0}",97.8,80.0,60.0,5,"{""thumb"": 3, ""index"": 0, ""middle"": 2, ""ring"": 2, ""little"": 4}",良好,False
2026-06-24 10:11:21,张开手训练,"[253, 248, 255, 250, 251, 246]","[255, 255, 255, 255, 255, 255]","{""thumb"": 0, ""index"": 0, ""middle"": 0, ""ring"": 0, ""little"": 0}",97.0,80.0,60.0,5,"{""thumb"": 4, ""index"": 0, ""middle"": 3, ""ring"": 3, ""little"": 5}",良好,False
2026-06-24 10:11:21,张开手训练,"[253, 248, 255, 250, 251, 246]","[255, 255, 255, 255, 255, 255]","{""thumb"": 0, ""index"": 0, ""middle"": 0, ""ring"": 0, ""little"": 0}",97.6,80.0,60.0,5,"{""thumb"": 5, ""index"": 0, ""middle"": 2, ""ring"": 1, ""little"": 4}",良好,False
2026-06-24 10:11:21,张开手训练,"[253, 248, 255, 250, 251, 246]","[255, 255, 255, 255, 255, 255]","{""thumb"": 0, ""index"": 0, ""middle"": 0, ""ring"": 0, ""little"": 0}",97.8,80.0,60.0,5,"{""thumb"": 3, ""index"": 0, ""middle"": 2, ""ring"": 2, ""little"": 4}",良好,False
2026-06-24 10:11:21,张开手训练,"[253, 248, 255, 250, 251, 246]","[255, 255, 255, 255, 255, 255]","{""thumb"": 0, ""index"": 0, ""middle"": 0, ""ring"": 0, ""little"": 0}",97.8,80.0,60.0,5,"{""thumb"": 3, ""index"": 0, ""middle"": 2, ""ring"": 2, ""little"": 4}",良好,False
2026-06-24 10:11:21,张开手训练,"[253, 248, 255, 250, 251, 246]","[255, 255, 255, 255, 255, 255]","{""thumb"": 0, ""index"": 0, ""middle"": 0, ""ring"": 0, ""little"": 0}",97.8,80.0,60.0,5,"{""thumb"": 3, ""index"": 0, ""middle"": 2, ""ring"": 2, ""little"": 4}",良好,False
